City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,extrema,-22.8547,-46.3183,22.87,41,5,2.96,BR,1689515700
305,roma,43.2128,-75.4557,26.01,89,100,1.54,US,1689515700
306,bardai,11.65,7.2333,34.35,34,85,3.73,NG,1689515700
307,mahbubabad,17.6167,80.0167,25.47,84,100,3.45,IN,1689515700
308,new richmond,45.123,-92.5366,18.84,88,100,3.09,US,1689515701
309,luganville,-15.5333,167.1667,24.37,86,99,7.74,VU,1689515701
310,chibougamau,49.9168,-74.3659,18.79,94,100,2.57,CA,1689515701
311,lawas,13.764,121.0566,25.55,88,100,3.14,PH,1689515702
312,masterton,-40.9597,175.6575,10.49,92,100,2.53,NZ,1689515687
313,fuerte olimpo,-21.0415,-57.8738,24.81,33,94,0.13,PY,1689515703
314,sisimiut,66.9395,-53.6735,6.75,90,100,0.79,GL,1689515703
315,irece,-11.3042,-41.8558,25.81,46,15,7.23,BR,1689515703
316,sinabang,2.4803,96.3801,26.86,81,46,1.81,ID,1689515703
317,nogliki,51.8333,143.1667,10.13,98,100,3.29,RU,1689515704
318,muisne,0.6,-80.0333,26.37,85,99,3.42,EC,1689515704
319,banda aceh,5.5577,95.3222,27.04,81,73,6.99,ID,1689515419
320,cooma,-36.2333,149.1333,2.96,92,0,0.97,AU,1689515705
321,al jawf,29.5,38.75,42.98,6,2,3.51,SA,1689515705
322,borrazopolis,-23.9411,-51.5875,15.71,58,84,0.84,BR,1689515705
323,guelmim,28.987,-10.0574,26.19,61,75,3.6,MA,1689515706
324,mitu,1.1983,-70.1733,26.97,75,93,1.12,CO,1689515706
325,lusambo,-4.9667,23.45,37.54,20,59,1.48,CD,1689515706
326,susuman,62.7833,148.1667,16.11,77,72,4.54,RU,1689515707
327,hobyo,5.3505,48.5268,26.6,73,56,14.09,SO,1689515707
328,lazaro cardenas,17.9583,-102.2,27.4,83,93,2.43,MX,1689515707
329,illizi,26.4833,8.4667,39.89,5,0,6.9,DZ,1689515708
330,buala,-8.145,159.5921,26.12,86,100,1.35,SB,1689515708
331,salahonda,2.1019,-78.7217,26.96,81,69,1.93,CO,1689515708
332,akrehamn,59.2667,5.1833,17.22,77,75,10.29,NO,1689515709
